Date,Team,Opponent,Home
Sat. 1 Apr.,Liverpool,Everton,1
Sat. 1 Apr.,Everton,Liverpool,0
Sat. 1 Apr.,Burnley,Tottenham,1
Sat. 1 Apr.,Tottenham,Burnley,0
Sat. 1 Apr.,Leicester City,Stoke City,1
Sat. 1 Apr.,Stoke City,Leicester City,0
Sat. 1 Apr.,Hull City,West Ham Utd,1
Sat. 1 Apr.,West Ham Utd,Hull City,0
Sat. 1 Apr.,Watford,Sunderland,1
Sat. 1 Apr.,Sunderland,Watford,0
Sat. 1 Apr.,Chelsea,Crystal Palace,1
Sat. 1 Apr.,Crystal Palace,Chelsea,0
Sat. 1 Apr.,Manchester Utd,West Bromwich,1
Sat. 1 Apr.,West Bromwich,Manchester Utd,0
Sat. 1 Apr.,Southampton,Bournemouth,1
Sat. 1 Apr.,Bournemouth,Southampton,0
Sun. 2 Apr.,Swansea City,Middlesbrough,1
Sun. 2 Apr.,Middlesbrough,Swansea City,0
Sun. 2 Apr.,Arsenal,Manchester City,1
Sun. 2 Apr.,Manchester City,Arsenal,0
Tue. 4 Apr.,Leicester City,Sunderland,1
Tue. 4 Apr.,Sunderland,Leicester City,0
Tue. 4 Apr.,Watford,West Bromwich,1
Tue. 4 Apr.,West Bromwich,Watford,0
Tue. 4 Apr.,Burnley,Stoke City,1
Tue. 4 Apr.,Stoke City,Burnley,0
Tue. 4 Apr.,Manchester Utd,Everton,1
Tue. 4 Apr.,Everton,Manchester Utd,0
Wed. 5 Apr.,Arsenal,West Ham Utd,1
Wed. 5 Apr.,West Ham Utd,Arsenal,0
Wed. 5 Apr.,Swansea City,Tottenham,1
Wed. 5 Apr.,Tottenham,Swansea City,0
Wed. 5 Apr.,Southampton,Crystal Palace,1
Wed. 5 Apr.,Crystal Palace,Southampton,0
Wed. 5 Apr.,Hull City,Middlesbrough,1
Wed. 5 Apr.,Middlesbrough,Hull City,0
Wed. 5 Apr.,Chelsea,Manchester City,1
Wed. 5 Apr.,Manchester City,Chelsea,0
Wed. 5 Apr.,Liverpool,Bournemouth,1
Wed. 5 Apr.,Bournemouth,Liverpool,0
Sat. 8 Apr.,Tottenham,Watford,1
Sat. 8 Apr.,Watford,Tottenham,0
Sat. 8 Apr.,Manchester City,Hull City,1
Sat. 8 Apr.,Hull City,Manchester City,0
Sat. 8 Apr.,West Ham Utd,Swansea City,1
Sat. 8 Apr.,Swansea City,West Ham Utd,0
Sat. 8 Apr.,Middlesbrough,Burnley,1
Sat. 8 Apr.,Burnley,Middlesbrough,0
Sat. 8 Apr.,Stoke City,Liverpool,1
Sat. 8 Apr.,Liverpool,Stoke City,0
Sat. 8 Apr.,West Bromwich,Southampton,1
Sat. 8 Apr.,Southampton,West Bromwich,0
Sat. 8 Apr.,Bournemouth,Chelsea,1
Sat. 8 Apr.,Chelsea,Bournemouth,0
Sun. 9 Apr.,Sunderland,Manchester Utd,1
Sun. 9 Apr.,Manchester Utd,Sunderland,0
Sun. 9 Apr.,Everton,Leicester City,1
Sun. 9 Apr.,Leicester City,Everton,0
Mon. 10 Apr.,Crystal Palace,Arsenal,1
Mon. 10 Apr.,Arsenal,Crystal Palace,0
Sat. 15 Apr.,Tottenham,Bournemouth,1
Sat. 15 Apr.,Bournemouth,Tottenham,0
Sat. 15 Apr.,Stoke City,Hull City,1
Sat. 15 Apr.,Hull City,Stoke City,0
Sat. 15 Apr.,Sunderland,West Ham Utd,1
Sat. 15 Apr.,West Ham Utd,Sunderland,0
Sat. 15 Apr.,Crystal Palace,Leicester City,1
Sat. 15 Apr.,Leicester City,Crystal Palace,0
Sat. 15 Apr.,Everton,Burnley,1
Sat. 15 Apr.,Burnley,Everton,0
Sat. 15 Apr.,Watford,Swansea City,1
Sat. 15 Apr.,Swansea City,Watford,0
Sat. 15 Apr.,Southampton,Manchester City,1
Sat. 15 Apr.,Manchester City,Southampton,0
Sun. 16 Apr.,West Bromwich,Liverpool,1
Sun. 16 Apr.,Liverpool,West Bromwich,0
Sun. 16 Apr.,Manchester Utd,Chelsea,1
Sun. 16 Apr.,Chelsea,Manchester Utd,0
Mon. 17 Apr.,Middlesbrough,Arsenal,1
Mon. 17 Apr.,Arsenal,Middlesbrough,0
Sat. 22 Apr.,Manchester City,West Bromwich,1
Sat. 22 Apr.,West Bromwich,Manchester City,0
Sat. 22 Apr.,West Ham Utd,Everton,1
Sat. 22 Apr.,Everton,West Ham Utd,0
Sat. 22 Apr.,Bournemouth,Middlesbrough,1
Sat. 22 Apr.,Middlesbrough,Bournemouth,0
Sat. 22 Apr.,Arsenal,Sunderland,1
Sat. 22 Apr.,Sunderland,Arsenal,0
Sat. 22 Apr.,Hull City,Watford,1
Sat. 22 Apr.,Watford,Hull City,0
Sat. 22 Apr.,Swansea City,Stoke City,1
Sat. 22 Apr.,Stoke City,Swansea City,0
Sun. 23 Apr.,Leicester City,Tottenham,1
Sun. 23 Apr.,Tottenham,Leicester City,0
Sun. 23 Apr.,Burnley,Manchester Utd,1
Sun. 23 Apr.,Manchester Utd,Burnley,0
Sun. 23 Apr.,Liverpool,Crystal Palace,1
Sun. 23 Apr.,Crystal Palace,Liverpool,0
Tue. 25 Apr.,Chelsea,Southampton,1
Tue. 25 Apr.,Southampton,Chelsea,0
Wed. 26 Apr.,Arsenal,Leicester City,1
Wed. 26 Apr.,Leicester City,Arsenal,0
Wed. 26 Apr.,Middlesbrough,Sunderland,1
Wed. 26 Apr.,Sunderland,Middlesbrough,0
Wed. 26 Apr.,Crystal Palace,Tottenham,1
Wed. 26 Apr.,Tottenham,Crystal Palace,0
Thu. 27 Apr.,Manchester City,Manchester Utd,1
Thu. 27 Apr.,Manchester Utd,Manchester City,0
Sat. 29 Apr.,Southampton,Hull City,1
Sat. 29 Apr.,Hull City,Southampton,0
Sat. 29 Apr.,Stoke City,West Ham Utd,1
Sat. 29 Apr.,West Ham Utd,Stoke City,0
Sat. 29 Apr.,West Bromwich,Leicester City,1
Sat. 29 Apr.,Leicester City,West Bromwich,0
Sat. 29 Apr.,Sunderland,Bournemouth,1
Sat. 29 Apr.,Bournemouth,Sunderland,0
Sat. 29 Apr.,Crystal Palace,Burnley,1
Sat. 29 Apr.,Burnley,Crystal Palace,0
Sun. 30 Apr.,Manchester Utd,Swansea City,1
Sun. 30 Apr.,Swansea City,Manchester Utd,0
Sun. 30 Apr.,Everton,Chelsea,1
Sun. 30 Apr.,Chelsea,Everton,0
Sun. 30 Apr.,Middlesbrough,Manchester City,1
Sun. 30 Apr.,Manchester City,Middlesbrough,0
Sun. 30 Apr.,Tottenham,Arsenal,1
Sun. 30 Apr.,Arsenal,Tottenham,0
Mon. 1 May.,Watford,Liverpool,1
Mon. 1 May.,Liverpool,Watford,0
Sat. 6 May.,Liverpool,Southampton,1
Sat. 6 May.,Southampton,Liverpool,0
Sat. 6 May.,Swansea City,Everton,1
Sat. 6 May.,Everton,Swansea City,0
Sat. 6 May.,Bournemouth,Stoke City,1
Sat. 6 May.,Stoke City,Bournemouth,0
Sat. 6 May.,Arsenal,Manchester Utd,1
Sat. 6 May.,Manchester Utd,Arsenal,0
Sat. 6 May.,Leicester City,Watford,1
Sat. 6 May.,Watford,Leicester City,0
Sat. 6 May.,Hull City,Sunderland,1
Sat. 6 May.,Sunderland,Hull City,0
Sat. 6 May.,Chelsea,Middlesbrough,1
Sat. 6 May.,Middlesbrough,Chelsea,0
Sat. 6 May.,West Ham Utd,Tottenham,1
Sat. 6 May.,Tottenham,West Ham Utd,0
Sat. 6 May.,Burnley,West Bromwich,1
Sat. 6 May.,West Bromwich,Burnley,0
Sat. 6 May.,Manchester City,Crystal Palace,1
Sat. 6 May.,Crystal Palace,Manchester City,0
Sat. 13 May.,Tottenham,Manchester Utd,1
Sat. 13 May.,Manchester Utd,Tottenham,0
Sat. 13 May.,Middlesbrough,Southampton,1
Sat. 13 May.,Southampton,Middlesbrough,0
Sat. 13 May.,Manchester City,Leicester City,1
Sat. 13 May.,Leicester City,Manchester City,0
Sat. 13 May.,West Ham Utd,Liverpool,1
Sat. 13 May.,Liverpool,West Ham Utd,0
Sat. 13 May.,Everton,Watford,1
Sat. 13 May.,Watford,Everton,0
Sat. 13 May.,Crystal Palace,Hull City,1
Sat. 13 May.,Hull City,Crystal Palace,0
Sat. 13 May.,Bournemouth,Burnley,1
Sat. 13 May.,Burnley,Bournemouth,0
Sat. 13 May.,Sunderland,Swansea City,1
Sat. 13 May.,Swansea City,Sunderland,0
Sat. 13 May.,Stoke City,Arsenal,1
Sat. 13 May.,Arsenal,Stoke City,0
Sat. 13 May.,West Bromwich,Chelsea,1
Sat. 13 May.,Chelsea,West Bromwich,0
Sun. 21 May.,Arsenal,Everton,1
Sun. 21 May.,Everton,Arsenal,0
Sun. 21 May.,Southampton,Stoke City,1
Sun. 21 May.,Stoke City,Southampton,0
Sun. 21 May.,Burnley,West Ham Utd,1
Sun. 21 May.,West Ham Utd,Burnley,0
Sun. 21 May.,Swansea City,West Bromwich,1
Sun. 21 May.,West Bromwich,Swansea City,0
Sun. 21 May.,Chelsea,Sunderland,1
Sun. 21 May.,Sunderland,Chelsea,0
Sun. 21 May.,Watford,Manchester City,1
Sun. 21 May.,Manchester City,Watford,0
Sun. 21 May.,Hull City,Tottenham,1
Sun. 21 May.,Tottenham,Hull City,0
Sun. 21 May.,Leicester City,Bournemouth,1
Sun. 21 May.,Bournemouth,Leicester City,0
Sun. 21 May.,Liverpool,Middlesbrough,1
Sun. 21 May.,Middlesbrough,Liverpool,0
Sun. 21 May.,Manchester Utd,Crystal Palace,1
Sun. 21 May.,Crystal Palace,Manchester Utd,0
